customer_city,order_volume,total_sales
pitangui,22,3064.2
marau,22,2631.9900000000002
cambui,22,3660.8100000000004
oliveira,22,3100.7200000000003
biguacu,22,3738.89
presidente venceslau,22,3410.889999999999
santos dumont,22,2559.58
ibitinga,22,3368.45
irati,22,2994.1600000000003
salinas,22,5691.160000000001
piedade,22,2919.16
parnaiba,22,5073.01
januaria,22,4050.95
simoes filho,21,5223.07
porto feliz,21,3365.57
juquitiba,21,3529.9900000000007
vacaria,21,2735.96
medianeira,21,3407.33
rancharia,21,3006.8399999999997
castanhal,21,4500.22
piracaia,21,2866.91
machado,21,3182.8
pinhalzinho,21,2578.1600000000003
guapimirim,21,3446.9899999999993
aracati,21,3413.0000000000005
cabo de santo agostinho,21,3618.25
cantagalo,21,2758.09
candeias,21,2402.21
icara,21,2850.8999999999996
brumado,21,3330.52
campo belo,21,2218.31
vera cruz,21,3212.0099999999998
taquara,21,4954.910000000001
pederneiras,21,3450.01
paraguacu paulista,20,3063.9600000000005
estancia velha,20,3563.8499999999995
boa esperanca,20,4789.2300000000005
curitibanos,20,3469.7999999999997
cachoeiras de macacu,20,2304.32
monte siao,20,2866.4399999999996
santana do livramento,20,4911.3
braco do norte,20,3423.42
bom jesus do itabapoana,20,4011.27
sao gotardo,20,3078.9200000000005
sao manuel,20,3403.6000000000004
claudio,20,3403.7999999999997
timbo,20,4468.12
santo antonio de posse,20,5393.22
ibiruba,20,3695.7300000000005
sorriso,20,4009.0299999999997
casimiro de abreu,20,3963.309999999999
nova venecia,19,2952.63
paraty,19,3249.8599999999997
socorro,19,2640.2200000000003
jacutinga,19,3201.7400000000007
tambau,19,1823.4900000000002
iguaba grande,19,2829.65
laranjeiras do sul,19,2413.23
capelinha,19,2968.1200000000003
nova granada,19,2122.45
cafelandia,19,2757.71
monte azul paulista,19,3287.1000000000004
espera feliz,19,3751.4200000000005
carlos barbosa,19,3015.42
tres pontas,19,2587.99
conchal,19,2464.88
palmital,19,2323.78
veranopolis,18,2878.0800000000004
floriano,18,3145.5099999999998
espirito santo do pinhal,18,2464.28
santa rita do passa quatro,18,2479.14
crato,18,3847.13
pereira barreto,18,4460.09
bambui,18,2558.6800000000003
itapetinga,18,3169.4999999999995
morrinhos,18,2929.5099999999998
ipero,18,3079.7999999999997
barao de cocais,18,2452.9399999999996
iracemapolis,18,1532.5000000000002
paragominas,18,2799.86
cruz das almas,18,2486.5699999999997
guararapes,18,1566.8999999999999
sao borja,18,2616.89
ponta pora,18,4652.16
bonfim paulista,18,2850.1700000000005
castelo,18,1990.94
ararangua,18,2786.74
guapore,18,3987.0599999999995
sao francisco,18,2812.23
mandaguari,18,5829.0599999999995
barrinha,18,3321.1499999999996
quatro barras,18,2079.83
visconde do rio branco,18,1952.66
guanhaes,18,2313.7500000000005
sarzedo,18,1316.3300000000002
senhor do bonfim,18,3047.42
itatiaia,18,1882.2899999999997
paraiba do sul,18,3452.08
jarinu,18,1712.0600000000002
viradouro,18,2480.95
agua boa,18,3336.82
cerqueira cesar,18,4059.120000000001
bonito,17,3342.66
ji-parana,17,4435.13
alegre,17,3265.01
jaguariaiva,17,2117.03
bastos,17,1673.94
dois irmaos,17,3847.42
miracema,17,1891.44
leopoldina,17,2038.21
juina,17,5417.13
bom jesus dos perdoes,17,1920.7700000000002
pompeia,17,2252.95
piraju,17,5054.7699999999995
uruacu,17,2307.27
santo antonio da patrulha,17,5603.12
torres,17,1833.3199999999997
canela,17,2798.26
picos,17,4255.89
anchieta,17,2745.3799999999997
laranjal paulista,17,2583.8200000000006
balsas,17,6607.739999999999
salgueiro,17,3044.75
igrejinha,17,1581.6399999999999
panambi,17,4059.1499999999996
santo anastacio,17,2240.3299999999995
ipora,17,2616.8000000000006
charqueadas,17,2125.0199999999995
